generation,best_fitness,avg_fitness
0,0.6448170856954343,0.5542801503500474
1,0.6494170856954343,0.39140383834226344
2,0.6507170856954343,0.414778782013672
3,0.6617918866439298,0.51858575978854
4,0.66479188664393,0.34892646800766575
5,0.6523170856954342,0.5943598510080941
6,0.65459188664393,0.5477600903492287
7,0.6590918866439299,0.5848817342595622
8,0.6566170856954343,0.3779159015289439
9,0.67009188664393,0.5681225178350235
10,0.66409188664393,0.36688577585818677
11,0.6533170856954342,0.4658627879987522
12,0.6591918866439299,0.38754568119820704
13,0.6573918866439299,0.5746260147484314
14,0.65189188664393,0.5744564826867963
15,0.6948624281294129,0.5143882162998907
16,0.6936624281294129,0.6190890298536276
17,0.6950624281294129,0.47582823366505156
18,0.6978624281294129,0.6562935071251381
19,0.7057624281294129,0.657144855751252
20,0.700262428129413,0.5668023699542187
21,0.6936624281294129,0.5909260852518453
22,0.6962426193550798,0.6319443492355281
23,0.6948624281294129,0.6321907107674939
24,0.6863501515287307,0.5193857133414361
25,0.6965501515287307,0.3298037306306649
26,0.7051501515287306,0.4985356071998465
27,0.6921501515287306,0.5143513827695088
28,0.6956426193550799,0.5219504927199121
29,0.6881003337837727,0.47924762301111673
30,0.6839692796472171,0.53225917403702
31,0.6841692796472171,0.2805277786156414
32,0.6846301369932419,0.5057635561402025
33,0.6748904219448632,0.535639004572368
34,0.6819904219448631,0.28730042934699745
35,0.6849301369932419,0.4055579677170645
36,0.6803904219448631,0.3830118522265112
37,0.6858904219448632,0.47470941472382416
38,0.7060904219448632,0.5425863373922343
39,0.7033904219448631,0.517942649885441
40,0.7068904219448632,0.4516758181830878
41,0.6988904219448632,0.6221847636760296
42,0.7122904219448631,0.5153171835558963
43,0.6915624281294129,0.36782275501743605
44,0.7045904219448631,0.5666884154755178
45,0.6886904219448631,0.5841810675051479
46,0.7104904219448631,0.4262901798300863
47,0.6998904219448632,0.4895003984241587
48,0.7105904219448631,0.5924427719790344
49,0.7094904219448631,0.6452468464379204
50,0.6985624281294129,0.5298584564278414
51,0.7085904219448631,0.673512862376223
52,0.7048904219448632,0.3799714808874005
53,0.7103904219448631,0.5691402824717229
54,0.6895904219448631,0.4166878613310458
55,0.7114904219448631,0.5339425035749861
56,0.7009904219448632,0.5077695701983119
57,0.6980904219448631,0.5216119274912356
58,0.7009904219448632,0.4334785673245034
59,0.7001904219448631,0.5229282796349783
60,0.7146904219448631,0.4304876728034476
61,0.7101904219448631,0.5140465670444325
62,0.7026904219448631,0.5404282796349784
63,0.6974904219448631,0.5017342599056155
64,0.7055904219448631,0.42056356101582654
65,0.7045904219448631,0.5705790849429884
66,0.7021904219448631,0.6040616549178613
67,0.7113904219448631,0.6125919010784031
68,0.7047904219448631,0.5500735115936146
69,0.7067904219448631,0.6712359436112466
70,0.7073904219448631,0.41152799025315884
71,0.7092904219448631,0.5292754417195527
72,0.6982904219448631,0.42106581299050616
73,0.7174054839535006,0.6335249113713589
74,0.7145904219448631,0.5135177586198727
75,0.7149054839535005,0.5506495979870343
76,0.7031904219448631,0.6648342289191312
77,0.725981488264395,0.5392811728738611
78,0.7266814882643949,0.42799878431957633
79,0.722381488264395,0.6433701009966134
80,0.733081488264395,0.6295183202021921
81,0.7318814882643949,0.40756976813608353
82,0.724281488264395,0.5026057869310112
83,0.7266814882643949,0.5497605449840839
84,0.728981488264395,0.5783833180392267
85,0.737381488264395,0.5219358856778583
86,0.737281488264395,0.5312950937531367
87,0.729181488264395,0.5504589044303021
88,0.741181488264395,0.5554553050204977
89,0.737081488264395,0.6504582485907585
90,0.7286814882643949,0.5279430107074787
91,0.7259765605472761,0.6732805027209712
92,0.7245765605472761,0.6668258732559554
93,0.7280765605472761,0.6695710792389548
94,0.7225765605472761,0.30341774840825897
95,0.7235765605472761,0.5197453413153819
96,0.726476560547276,0.6134767360865445
97,0.7278765605472761,0.5784525072085407
98,0.7280765605472761,0.44654165529324014
99,0.7251765605472761,0.5141711985651003
